suburb_id,suburb_name,council,latitude,longitude,heat_intensity,heat_category,heat_rank,vegetation_total,vegetation_rank,tree_coverage,area_hectares
bundoora___east,Bundoora - East,Banyule (C),-37.7,145.07,9.22,High Heat,87,29.2,193,11.1,400.11
bundoora___east,Bundoora - East,Nillumbik (S),-37.69,145.07,8.02,High Heat,157,25.2,252,14.0,7.31
bundoora___north,Bundoora - North,Whittlesea (C),-37.68,145.07,9.26,High Heat,84,26.0,237,9.2,471.39
bundoora___west,Bundoora - West,Whittlesea (C),-37.69,145.05,8.96,High Heat,103,33.5,118,10.3,255.97
bunyip___garfield,Bunyip - Garfield,Cardinia (S),-38.08,145.67,6.25,Moderate Heat,226,46.7,33,15.5,25712.93
burnside,Burnside,Melton (C),-37.75,144.75,11.35,High Heat,14,25.3,250,5.4,255.15
burnside_heights,Burnside Heights,Melton (C),-37.73,144.76,11.72,High Heat,6,22.0,277,4.8,199.49
burwood,Burwood,Whitehorse (C),-37.85,145.11,8.11,High Heat,152,27.4,217,14.0,503.88
burwood_east,Burwood East,Whitehorse (C),-37.85,145.15,8.52,High Heat,125,29.1,194,13.6,426.25
cairnlea,Cairnlea,Brimbank (C),-37.76,144.79,11.57,High Heat,9,27.4,219,7.5,440.55
camberwell,Camberwell,Boroondara (C),-37.84,145.07,7.47,Moderate Heat,187,32.0,149,19.6,729.13
campbellfield___coolaroo,Campbellfield - Coolaroo,Hume (C),-37.67,144.95,9.21,High Heat,88,31.9,151,5.6,1818.4
carlton,Carlton,Melbourne (C),-37.8,144.97,8.34,High Heat,137,15.3,297,11.4,181.81
carlton_north___princes_hill,Carlton North - Princes Hill,Melbourne (C),-37.79,144.96,7.02,Moderate Heat,204,60.8,13,19.4,91.3
carlton_north___princes_hill,Carlton North - Princes Hill,Yarra (C),-37.79,144.97,8.84,High Heat,109,20.7,284,12.6,139.11
carnegie,Carnegie,Glen Eira (C),-37.89,145.06,8.53,High Heat,124,24.5,261,11.4,380.43
caroline_springs,Caroline Springs,Melton (C),-37.74,144.74,9.45,High Heat,75,24.5,260,6.7,695.15
carrum___patterson_lakes,Carrum - Patterson Lakes,Kingston (C) (Vic.),-38.07,145.14,7.5,Moderate Heat,186,29.7,185,7.9,582.45
carrum_downs,Carrum Downs,Frankston (C),-38.1,145.18,9.49,High Heat,72,38.9,57,9.4,2030.9
caulfield___north,Caulfield - North,Glen Eira (C),-37.87,145.02,8.16,High Heat,150,26.8,227,15.6,641.84
caulfield___south,Caulfield - South,Glen Eira (C),-37.89,145.03,8.73,High Heat,116,25.5,242,12.8,474.24
chelsea___bonbeach,Chelsea - Bonbeach,Kingston (C) (Vic.),-38.06,145.12,8.64,High Heat,120,32.1,146,7.1,542.32
chelsea_heights,Chelsea Heights,Kingston (C) (Vic.),-38.04,145.13,9.84,High Heat,56,42.9,43,10.8,319.59
cheltenham___highett_(east),Cheltenham - Highett (East),Kingston (C) (Vic.),-37.96,145.06,10.05,High Heat,46,23.8,267,9.6,873.77
cheltenham___highett_(west),Cheltenham - Highett (West),Bayside (C),-37.95,145.04,8.35,High Heat,136,29.2,192,13.7,531.95
chirnside_park,Chirnside Park,Yarra Ranges (S),-37.75,145.32,7.24,Moderate Heat,196,43.0,41,14.2,2219.95
clarinda___oakleigh_south,Clarinda - Oakleigh South,Kingston (C) (Vic.),-37.94,145.1,9.92,High Heat,50,32.7,133,8.4,632.23
clayton,Clayton,Monash (C),-37.92,145.13,9.0,High Heat,100,25.5,243,9.7,941.08
clayton_south,Clayton South,Kingston (C) (Vic.),-37.94,145.13,9.71,High Heat,62,30.0,181,7.1,793.75
coburg,Coburg,Moreland (C),-37.75,144.96,9.12,High Heat,92,27.1,225,9.9,693.32
coburg_north,Coburg North,Moreland (C),-37.73,144.97,9.08,High Heat,95,28.4,204,9.9,487.73
collingwood,Collingwood,Yarra (C),-37.8,144.99,8.72,High Heat,117,11.5,301,7.6,126.69
